video_path,label
d:/FinalProj/dataset\coerced\WIN_20260315_11_25_50_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_26_21_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_26_34_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_26_50_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_27_01_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_27_12_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_27_43_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_29_13_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_29_33_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_29_52_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_30_05_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_30_27_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_30_46_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_31_03_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_31_16_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_31_36_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_32_04_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_34_30_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_34_43_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_34_54_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_35_07_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_35_38_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_35_53_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_36_13_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_36_27_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_36_44_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_36_56_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_37_46_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_38_06_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_38_20_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_38_33_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_38_44_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_38_54_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_39_07_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_39_19_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_40_18_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_40_29_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_40_49_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_41_19_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_41_33_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_41_45_Pro.mp4,1
d:/FinalProj/dataset\coerced\WIN_20260315_11_41_57_Pro.mp4,1
d:/FinalProj/dataset\empty\WIN_20260315_11_53_16_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_53_30_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_53_46_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_53_59_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_54_13_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_54_27_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_54_41_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_54_56_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_55_10_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_55_24_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_56_36_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_56_48_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_56_59_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_57_25_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_57_46_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_57_59_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_58_22_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_58_34_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_58_47_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_11_58_59_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_00_01_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_00_14_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_00_33_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_00_49_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_01_06_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_01_16_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_01_28_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_01_40_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_01_51_Pro.mp4,2
d:/FinalProj/dataset\empty\WIN_20260315_12_02_18_Pro.mp4,2
